software mouseReMoCo;version 1.0.2;isWithLSL true;screenWidth 1920;screenHeight 1147;autoStart 3600;cycleMaxNumber 6;cycleDuration 20;borderColor java.awt.Color[r=255,g=255,b=255];backgroundColor java.awt.Color[r=0,g=0,b=0];cursorColorRecord java.awt.Color[r=255,g=0,b=0];cursorColorWait java.awt.Color[r=255,g=255,b=0];task circular;cornerX 467;cornerY 80;centerX 960;centerY 573;externalRadius 493;internalRadius 431;borderRadius 1;cursorRadius 16;indexOfDifficulty 99.98931100908203;taskRadius 461.5;taskTolerance 29
2022-02-07 16:32:43.206

timestamp,mouseX,mouseY,mouseInTarget
1644247990577,1299,259,1
1644247990585,1302,261,1
1644247990593,1304,262,1
1644247990601,1306,264,1
1644247990610,1309,266,1
1644247990618,1310,268,1
1644247990626,1313,270,1
1644247990634,1316,273,1
1644247990642,1320,277,1
1644247990651,1323,280,1
1644247990659,1326,284,1
1644247990667,1329,288,1
1644247990675,1330,290,1
1644247990683,1336,298,1
1644247990691,1339,304,1
1644247990700,1342,309,1
1644247990708,1346,316,1
1644247990716,1348,324,1
1644247990724,1352,332,1
1644247990732,1354,339,1
1644247990741,1358,347,1
1644247990749,1362,357,1
1644247990757,1365,365,1
1644247990765,1370,375,1
1644247990773,1378,394,1
1644247990783,1384,407,1
1644247990790,1392,424,1
1644247990798,1395,432,1
1644247990806,1403,446,1
1644247990815,1411,460,1
1644247990823,1413,464,1
1644247990831,1419,475,1
1644247990839,1429,490,0
1644247990848,1430,492,0
1644247990855,1437,503,0
1644247990863,1438,505,0
1644247990872,1442,513,0
1644247990881,1444,517,0
1644247990888,1446,522,0
1644247990896,1448,528,0
1644247990905,1449,535,0
1644247990913,1451,540,0
1644247990921,1452,543,0
1644247990933,1453,548,0
1644247990938,1454,552,0
1644247990946,1455,554,0
1644247990954,1455,557,0
1644247990963,1456,559,0
1644247990970,1456,560,0
1644247990978,1457,561,0
1644247990987,1457,562,0
1644247990995,1457,563,0
1644247991011,1457,564,0
1644247991028,1457,565,0
1644247991060,1457,566,0
1644247992312,1456,566,0
1644247992320,1454,566,0
1644247992327,1453,566,0
1644247992335,1452,566,0
1644247992344,1451,566,0
1644247992352,1449,566,0
1644247992360,1447,566,0
1644247992368,1446,566,0
1644247992376,1444,567,0
1644247992385,1442,568,0
1644247992393,1441,570,0
1644247992401,1439,572,0
1644247992409,1437,574,0
1644247992417,1436,577,0
1644247992426,1434,579,1
1644247992434,1432,582,1
1644247992442,1430,585,1
1644247992450,1428,588,1
1644247992458,1426,590,1
1644247992467,1424,593,1
1644247992474,1422,596,1
1644247992484,1420,598,1
1644247992491,1419,599,1
1644247992499,1417,602,1
1644247992508,1416,603,1
1644247992516,1415,604,1
1644247992524,1413,605,1
1644247992533,1413,606,1
1644247992540,1412,607,1
1644247992548,1411,609,1
1644247992557,1411,610,1
1644247992565,1410,611,1
1644247992573,1410,613,1
1644247992581,1410,615,1
1644247992590,1410,617,1
1644247992599,1410,618,1
1644247992606,1409,619,1
1644247992614,1409,621,1
1644247992631,1409,622,1
1644247992655,1408,623,1
1644247992679,1408,625,1
1644247992688,1408,627,1
1644247992696,1408,630,1
1644247992704,1408,635,1
1644247992713,1408,640,1
1644247992721,1408,645,1
1644247992729,1407,649,1
1644247992737,1407,654,1
1644247992745,1406,659,1
1644247992754,1406,664,1
1644247992762,1406,668,1
1644247992770,1405,671,1
1644247992778,1404,674,1
1644247992785,1403,677,1
1644247992795,1402,679,1
1644247992803,1401,682,1
1644247992811,1399,687,1
1644247992818,1398,691,1
1644247992827,1396,695,1
1644247992836,1394,700,1
1644247992843,1392,707,1
1644247992852,1390,713,1
1644247992860,1388,720,1
1644247992868,1387,726,1
1644247992877,1386,729,1
1644247992885,1383,739,1
1644247992893,1382,741,1
1644247992901,1379,750,1
1644247992909,1379,752,1
1644247992918,1378,757,1
1644247992926,1375,762,1
1644247992934,1373,769,1
1644247992942,1372,771,1
1644247992950,1371,775,1
1644247992959,1366,783,1
1644247992967,1365,785,1
1644247992975,1359,793,1
1644247992983,1356,797,1
1644247992991,1353,801,1
1644247993000,1350,806,1
1644247993008,1347,810,1
1644247993016,1343,814,1
1644247993024,1340,820,1
1644247993032,1338,822,1
1644247993041,1333,831,1
1644247993049,1331,836,1
1644247993057,1330,838,1
1644247993069,1326,843,1
1644247993073,1324,847,1
1644247993081,1323,851,1
1644247993090,1320,856,1
1644247993100,1318,858,1
1644247993105,1315,862,1
1644247993114,1313,865,1
1644247993123,1309,869,1
1644247993134,1308,871,1
1644247993139,1304,873,1
1644247993146,1299,878,1
1644247993155,1295,881,1
1644247993164,1292,885,1
1644247993172,1287,888,1
1644247993180,1285,890,1
1644247993188,1277,897,1
1644247993196,1275,898,1
1644247993204,1272,900,1
1644247993486,1271,900,1
1644247993491,1268,902,1
1644247993499,1265,903,1
1644247993508,1262,905,1
1644247993516,1259,908,1
1644247993524,1252,912,1
1644247993534,1245,918,1
1644247993541,1237,923,0
1644247993549,1231,929,1
1644247993557,1223,934,0
1644247993565,1217,941,1
1644247993573,1212,946,1
1644247993582,1210,947,1
1644247993590,1200,954,1
1644247993601,1198,955,1
1644247993606,1195,958,1
1644247993614,1188,963,1
1644247993623,1187,963,1
1644247993631,1183,965,1
1644247993639,1179,968,1
1644247993646,1173,971,1
1644247993655,1171,972,1
1644247993664,1168,974,1
1644247993672,1162,977,1
1644247993680,1157,979,1
1644247993688,1153,981,1
1644247993696,1147,985,1
1644247993705,1142,987,1
1644247993713,1137,989,1
1644247993721,1131,992,1
1644247993729,1128,993,1
1644247993737,1123,995,1
1644247993746,1119,997,1
1644247993754,1114,1000,1
1644247993762,1110,1001,1
1644247993769,1107,1002,1
1644247993778,1103,1003,1
1644247993787,1101,1004,1
1644247993794,1097,1005,1
1644247993803,1094,1006,1
1644247993811,1090,1007,1
1644247993818,1086,1008,1
1644247993827,1083,1008,1
1644247993835,1077,1009,1
1644247993844,1074,1010,1
1644247993851,1067,1010,1
1644247993860,1062,1010,1
1644247993869,1057,1010,1
1644247993876,1055,1010,1
1644247993886,1046,1010,0
1644247993892,1043,1010,0
1644247993900,1036,1010,0
1644247993910,1031,1011,0
1644247993918,1026,1011,0
1644247993926,1023,1011,0
1644247993934,1017,1011,0
1644247993942,1012,1011,0
1644247993951,1009,1011,0
1644247993959,1003,1011,0
1644247993967,999,1011,0
1644247993975,994,1011,0
1644247993983,988,1011,0
1644247993992,986,1011,0
1644247994000,982,1011,0
1644247994008,978,1011,0
1644247994016,974,1011,0
1644247994025,970,1011,0
1644247994033,966,1011,0
1644247994041,962,1011,0
1644247994049,958,1011,0
1644247994057,952,1011,0
1644247994067,950,1011,0
1644247994074,947,1011,0
1644247994082,943,1011,0
1644247994090,939,1011,0
1644247994099,936,1011,0
1644247994106,932,1011,0
1644247994115,929,1011,0
1644247994123,925,1011,0
1644247994130,921,1011,0
1644247994138,917,1011,0
